name,gender
Sean Bridgers,m
Adrien Brody,m
Sebastian Koch,m
Hugh Marlowe,m
Louison Blivet,f
Albert Austin,m
Ludmilla Tchérina,f
Billy Boyd,m
Takashi Shimura,m
William Tubbs,m
Rick Baker,m
Dean Stockwell,m
Karl Platen,m
Kirk Baltz,m
Song Lee-woo,f
Ellen Corby,f
Mario Scarpetta,m
Michael Harvey,m
Megumi Hayashibara,f
Michelle Williams,f
John Hollis,m
Sunny Pawar,m
David Oyelowo,m
Alex Lawther,m
Zoe Saldana,f
Shôtarô Hayashi,m
Cyd Charisse,f
Franca Marzi,f
Salvo Randone,m
Charles Bronson,m
George Sanders,m
Theodor Loos,m
Bolaji Badejo,m
Tom Berenger,m
Cole Hauser,m
Alexandre Mihalesco,m
Edward Binns,m
Kim Su-hyeon,m
Lamberto Maggiorani,m
Mélanie Laurent,f
Benedict Cumberbatch,m
Piper Laurie,f
Akira Ishida,m
Wendie Jo Sperber,f
Nikolay Grinko,m
Scarlett Johansson,f
Morgan Lund,m
Liev Schreiber,m
Aldo Rendine,m
Jayson Blair,m
Shelagh Fraser,f
Danielle Ornelas,f
Werner Klemperer,m
François Caron,m
Paul McGann,m
Irène Jacob,f
Tony Hale,m
Paul Faßnacht,m
Jack Purvis,m
Kengo Kora,m
Talia Shire,f
Robert De Niro,m
Samuel S. Hinds,m
Rudolf Klein-Rogge,m
Kokuten Kôdô,m
Mike Mazurki,m
Jack Nicholson,m
Jonathan Taylor Thomas,m
Charles Laughton,m
Thiago Martins,m
Jasmine Trinca,f
Zach Grenier,m
Thomas Jay Ryan,m
Nawazuddin Siddiqui,m
Randy Brooks,m
Carl Ballhaus,m
Bryce Gheisar,m
Marcello Melo Jr.,m
Ingrid Bergman,f
François Périer,m
Carter DeHaven,m
Sandra Milo,f
Memmo Carotenuto,m
John Noble,m
Hank Mann,m
Brie Larson,f
Clark Gregg,m
Gene Kelly,m
Anthony Gonzalez,m
Jim Cummings,m
Tsunehiko Kamijô,m
Craig Hill,m
Robert Downey Jr.,m
Volker Michalowski,m
Al Pacino,m
Song Kang-ho,m
Maidie Norman,f
Nathan Gamble,m
Omid Djalili,m
Amandla Stenberg,f
Al Ernest Garcia,m
Kenny Baker,m
Thomas Solivérès,m
Rupert Grint,m
Michael Caine,m
Mark Fite,m
Tamio Ohki,m
Chris Evans,m
Phil LaMarr,m
Nobuo Nakamura,m
Jack Warden,m
James B. Harris,m
Larry Brandenburg,m
Dmitri Korshikov,m
Richard Kanayan,m
Eddie Baker,m
Murdock MacQuarrie,m
Joseph Marcell,m
Octavia Spencer,f
Paulette Goddard,f
Al Mulock,m
Arturo Dominici,m
Frank Adu,m
Harvey Keitel,m
Brian Distance,m
Lee Yong-nyeo,f
Rooney Mara,f
Jo Eun-hyung,f
Sean Bean,m
Motoki Fukami,m
Nellie Sciutto,f
Henry Bergman,m
Claude Rains,m
Sean Sullivan,m
Alec Guinness,m
Nikolai Sergeyev,m
Maurício Gonçalves,m
Lawrence Bender,m
Patricia Clarkson,f
Kang Hye-jung,f
Edda Ferronao,f
Lee Patrick,f
Tom Holland,m
Alfonso Aráu,m
Gary Oldman,m
Jeremy Renner,m
Erskine Sanford,m
Miyu Irino,m
Gary Weeks,m
Peter Lorre,m
Danny Aiello,m
Marcello Mastroianni,m
Mackenzie Foy,f
Charly Hübner,m
Sue-Lynn Ansari,f
Gunnar Björnstrand,m
Leandra Leal,f
Darlan Cunha,m
William Hartnell,m
Nick Vallelonga,m
Richard Belzer,m
Matheus Nachtergaele,m
Kenny Baker,m
Wendell Corey,m
Embeth Davidtz,f
Elijah Wood,m
