name,gender
Stanley Kubrick,m
Michael Ballhaus,m
Matsutarô Kawaguchi,m
Phil Lord,m
Tony Bill,m
Frankie Chan Fan-Kei,m
Mali Finn,f
Peter Jackson,m
Wim Wenders,m
Ennio Flaiano,m
François Truffaut,m
Janis Clark,f
Tomm Moore,m
Chris Marker,m
Paul Hirsch,m
Frank Darabont,m
Pawel Edelman,m
Ernest Laszlo,m
Tim Burke,m
Nicholas Pileggi,m
Erica Steinberg,f
Paul Thomas Anderson,m
Zigmund Gron,m
Ingmar Bergman,m
Henry Bumstead,m
Alan Tomkins,m
Stanley Kubrick,m
Branko Lustig,m
Charlie Chaplin,m
Gerald Fried,m
Howard Shore,m
Tim Galvin,m
Lee Hae-jun,m
Melissa Toth,f
Stuart Craig,m
Phil Lord,m
Carlo Simi,m
Ngila Dickson,f
Gordon Carroll,m
Budd Schulberg,m
Yasujirō Ozu,m
William Glasgow,m
Simon Duggan,m
George Sawley,m
Glen Cavender,m
Tomm Moore,m
Chuck Palahniuk,m
Lee Hwan-kyung,m
Joe Hisaishi,m
Wolfgang Petersen,m
Lynzee Klingman,f
Wally Westmore,m
David Wasco,m
Darryl F. Zanuck,m
Gustavo Alatriste,m
Hans Zimmer,m
Hervé de Luze,m
Stuart Cornfeld,m
Uday Chopra,m
Helen Estabrook,f
Takeshi Seyama,m
John Cox,m
Wolfgang Petersen,m
Raúl Lavista,m
Walter Fasano,m
Mamoru Hosoda,m
Gilles Sacuto,m
Laray Mayfield,f
Carter DeHaven,m
Elgin Lessley,m
Anne V. Coates,f
Graham Greene,m
Akira Kurosawa,m
Furio Scarpelli,m
Orry-Kelly,m
Arthur Edeson,m
Joy Todd,f
Gilbert Taylor,m
George Lucas,m
Masaru Satô,m
Asakazu Nakai,m
Eugenio Alabiso,m
Jim Thompson,m
Miléna Poylo,f
Benjamin Caron,m
Denis Villeneuve,m
Satoshi Kon,m
Liz Glotzer,f
Valérie Beaugrand-Champagne,f
James C. Katz,m
Cindy Evans,f
Steve Ditko,m
Phyllis Carlyle,f
Günther Rittau,m
Alfred Newman,m
Arnold Kopelson,m
Sally Menke,f
Karen Koch,f
Masaki Kobayashi,m
Emeric Pressburger,m
Kang Woo-suk,m
Roger Christian,m
Cedric Gibbons,m
Arthur C. Clarke,m
Dorota Kobiela,f
Vic Ramos,m
John Hughes,m
Louise Mingenbach,f
Pascal Chaumeil,m
Robert Aldrich,m
Xavier Dolan,m
Otello Martelli,m
Melissa Toth,f
Jan Harlan,m
Michael Ballhaus,m
A. Edward Sutherland,m
Terri Taylor,f
Alfio Contini,m
Peter Zinner,m
George R. Nelson,m
Robin D. Cook,f
Diana Almeida,f
Akira Kurosawa,m
Rufus Le Maire,m
Nizou Yamamoto,m
Jonathan Demme,m
Akira Kurosawa,m
Takeshi Seyama,m
Alain Attal,m
Francis Ford Coppola,m
Ed Guiney,m
Jean-Yves Escoffier,m
Charles F. Wheeler,m
John Papsidera,m
Christopher Nolan,m
Arthur Schmidt,m
Lea Carlson,f
Robby Müller,m
Akira Kurosawa,m
Arnon Milchan,m
Clio Chiang,f
Akira Kurosawa,m
Lloyd Phillips,m
Paul Hirsch,m
Stanley Kubrick,m
Ingmar Bergman,m
Eric Sundahl,m
Emile LaVigne,m
Daniel Rezende,m
Oriol Paulo,m
Sylvia Ingemarsson,f
Edith Head,f
Florian Henckel von Donnersmarck,m
Constance Demontoy,f
Arthur Freed,m
Alessio Cremonini,m
Patrice Ledoux,m
Joan Alison,f
Masaaki Endou,m
Oliver Stone,m
Sergio Amidei,m
Ellen Kuras,f
Steven Haft,m
Federico Fellini,m
Ernest Archer,m
Bryan Singer,m
Brunello Rondi,m
Gus Van Sant,m
Peter Lando,m
Cassio Amarante,m
Michael Phillips,m
Bob Weinstein,m
Dick Ziker,m
Evan Hunter,m
Mauricio Andrade Ramos,m
Mario Cotone,m
Wally Westmore,m
Anthony Russo,m
Takao Saitô,m
Akira Kurosawa,m
Henry Bergman,m
Dorota Kobiela,f
Buster Keaton,m
Malcolm Johnson,m
Federico Fellini,m
Buster Keaton,m
Wally Pfister,m
Gordon Davidson,m
James Haygood,m
Mark Livolsi,m
Ingmar Bergman,m
Chen Kaige,m
Ingmar Bergman,m
Luke Davies,m
Judy Taylor,f
François Truffaut,m
Robert Teitel,m
Nenad Pečur,m
Kim Hyung-koo,m
Jack L. Warner,m
Lawrence Bender,m
Michio Mamiya,m
Charlie Chaplin,m
Carlos Savage,m
Roberto Arcangeli,f
Carmine Coppola,m
Monte Hellman,m
Theodore Reed,m
Owen Marks,m
Aldo Tonti,m
Terence Marsh,m
Armand Thirard,m
Yoshifumi Kondou,m
Charlie Chaplin,m
Marcia Lucas,f
Willard Nico,m
Angelo Badalamenti,m
Nizou Yamamoto,m
Nino Baragli,m
Hideaki Anno,m
Hayao Miyazaki,m
John Mollo,m
Richard Marks,m
Christopher Priest,m
William Goldenberg,m
Suzanne Todd,f
Anatole Dauman,m
Warren Newcombe,m
Daniel Lupi,m
Cristian Chinen,m
Gerd Oswald,m
Akira Kurosawa,m
Deborah Lynn Scott,f
Billy Wilder,m
Robert Juillard,m
Lee Smith,m
Olivier Nakache,m
Sarah Finn,f
Katinka Faragó,f
Miloš Forman,m
Mario Monicelli,m
Oscar Rosander,m
Beto Villares,m
Fumio Hayasaka,m
Alfred Hitchcock,m
Eric Schlosser,m
Anna B. Sheppard,f
Roland Totheroh,m
Jeanette Volturno,f
Andrew Lau,m
Maurice Jarre,m
Ellen Lewis,f
Asakazu Nakai,m
Tim Galvin,m
Pierre Boileau,m
Jesper Kyd,m
